nombre,lat,lng,direccion,categoria,capa,mapa,lista
Tre Farine | Aversa,40.9605605,14.2009504,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Pizzeria F.lli Vallefuoco,40.96175059999999,14.210651700000001,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Pizzeria La Sorrisi,40.96952849999999,14.2130148,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
La Dolce Vita,40.87453410000001,14.386897499999998,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
La Contrada di Tony Ristorante & Pizzeria,40.84704540000001,14.0703042,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Infinity Cornetteria Paninoteca,40.98203549999999,14.2101936,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Libro's Cool Aversa,40.9727322,14.2137099,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Gelateria Yogurteria Smile Gel Aversa,40.9732384,14.2094019,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Gastró Aversa,40.98157690000001,14.2087286,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Ristorante Pizzeria F.lli Cuorvo di Mimmo e Gioacchino,40.9122253,14.3914235,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Sciuè il panino vesuviano,40.9068578,14.3947476,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Chapeau,40.98548059999999,14.1778055,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Yogurteria Yolly,40.9128149,14.397862000000002,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Mulino Primavera - Ristorante Pizzeria,40.9508382,14.364655400000002,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
LievitoSfizio - Pizzeria Friggitoria,40.9065885,14.4084929,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
